date,time,open,high,low,close,volume
2025.01.02,00:00,157.167,157.256,157.054,157.238,566
2025.01.02,01:00,157.212,157.777,157.152,157.682,4919
2025.01.02,02:00,157.684,157.759,157.281,157.436,7303
2025.01.02,03:00,157.435,157.664,157.407,157.507,7140
2025.01.02,04:00,157.506,157.51,157.257,157.283,4450
2025.01.02,05:00,157.282,157.291,157.12,157.157,3870
2025.01.02,06:00,157.145,157.157,156.982,157.007,3264
2025.01.02,07:00,157.008,157.207,156.964,157.206,3146
2025.01.02,08:00,157.2,157.209,156.644,156.645,5398
2025.01.02,09:00,156.645,156.74,156.428,156.659,8650
2025.01.02,10:00,156.659,156.825,156.45,156.779,12001
2025.01.02,11:00,156.78,156.917,156.739,156.788,7815
2025.01.02,12:00,156.794,157.159,156.788,157.122,7543
2025.01.02,13:00,157.121,157.281,157.047,157.202,7715
2025.01.02,14:00,157.201,157.217,157.003,157.062,7456
2025.01.02,15:00,157.063,157.237,156.704,156.826,12384
2025.01.02,16:00,156.822,157.113,156.622,157.022,12486
2025.01.02,17:00,157.026,157.182,156.77,157.148,14527
2025.01.02,18:00,157.149,157.742,157.127,157.65,11042
2025.01.02,19:00,157.651,157.845,157.476,157.565,8083
2025.01.02,20:00,157.566,157.631,157.455,157.497,5592
2025.01.02,21:00,157.497,157.673,157.466,157.614,4209
2025.01.02,22:00,157.613,157.652,157.555,157.617,2721
2025.01.02,23:00,157.622,157.628,157.38,157.463,2489
2025.01.03,00:00,157.464,157.496,157.395,157.439,1087
2025.01.03,01:00,157.466,157.563,157.335,157.34,2701
2025.01.03,02:00,157.341,157.399,157.161,157.2,5527
2025.01.03,03:00,157.198,157.407,157.173,157.279,4711
2025.01.03,04:00,157.279,157.349,157.237,157.306,3817
2025.01.03,05:00,157.31,157.456,157.17,157.297,3716
2025.01.03,06:00,157.298,157.386,157.233,157.269,3748
2025.01.03,07:00,157.271,157.353,157.226,157.287,3603
2025.01.03,08:00,157.288,157.291,157.118,157.155,2650
2025.01.03,09:00,157.156,157.262,157.032,157.13,7018
2025.01.03,10:00,157.128,157.423,157.118,157.316,6787
2025.01.03,11:00,157.313,157.333,157.08,157.244,6543
2025.01.03,12:00,157.242,157.372,157.159,157.367,5396
2025.01.03,13:00,157.366,157.386,157.19,157.234,5370
2025.01.03,14:00,157.233,157.255,157.053,157.15,5014
2025.01.03,15:00,157.151,157.237,157.014,157.182,6314
2025.01.03,16:00,157.183,157.309,157.085,157.087,6597
2025.01.03,17:00,157.045,157.491,157.045,157.385,10190
2025.01.03,18:00,157.387,157.398,157.19,157.201,5007
2025.01.03,19:00,157.201,157.204,156.862,157.155,5595
2025.01.03,20:00,157.163,157.236,157.101,157.157,2891
